Day,Date,Confirmed,Recovered,Deaths
0, 2020-01-30, 1, 0, 0
0, 2020-01-31, 1, 0, 0
0, 2020-02-01, 1, 0, 0
0, 2020-02-02, 2, 0, 0
0, 2020-02-03, 3, 0, 0
0, 2020-02-04, 3, 0, 0
0, 2020-02-05, 3, 0, 0
0, 2020-02-06, 3, 0, 0
0, 2020-02-07, 3, 0, 0
0, 2020-02-08, 3, 0, 0
0, 2020-02-09, 3, 0, 0
0, 2020-02-10, 3, 0, 0
0, 2020-02-11, 3, 0, 0
0, 2020-02-12, 3, 0, 0
0, 2020-02-13, 3, 1, 0
0, 2020-02-14, 3, 1, 0
0, 2020-02-15, 3, 1, 0
0, 2020-02-16, 3, 2, 0
0, 2020-02-17, 3, 2, 0
0, 2020-02-18, 3, 2, 0
0, 2020-02-19, 3, 2, 0
0, 2020-02-20, 3, 3, 0
0, 2020-02-21, 3, 3, 0
0, 2020-02-22, 3, 3, 0
0, 2020-02-23, 3, 3, 0
0, 2020-02-24, 3, 3, 0
0, 2020-02-25, 3, 3, 0
0, 2020-02-26, 3, 3, 0
0, 2020-02-27, 3, 3, 0
0, 2020-02-28, 3, 3, 0
0, 2020-02-29, 3, 3, 0
0, 2020-03-01, 3, 3, 0
0, 2020-03-02, 5, 3, 0
0, 2020-03-03, 6, 3, 0
0, 2020-03-04, 28, 3, 0
0, 2020-03-05, 30, 3, 0
0, 2020-03-06, 31, 3, 0
0, 2020-03-07, 34, 3, 0
0, 2020-03-08, 39, 3, 0
0, 2020-03-09, 48, 3, 0
0, 2020-03-10, 63, 4, 0
0, 2020-03-11, 71, 4, 0
0, 2020-03-12, 81, 4, 1
0, 2020-03-13, 91, 10, 1
0, 2020-03-14, 102, 10, 2
0, 2020-03-15, 112, 13, 2
0, 2020-03-16, 126, 14, 2
0, 2020-03-17, 146, 15, 3
0, 2020-03-18, 171, 15, 3
0, 2020-03-19, 198, 20, 4
0, 2020-03-20, 256, 23, 4
0, 2020-03-21, 334, 23, 4
0, 2020-03-22, 403, 23, 7
0, 2020-03-23, 497, 25, 9
0, 2020-03-24, 571, 40, 10
0, 2020-03-25, 657, 43, 11
0, 2020-03-26, 730, 50, 16
0, 2020-03-27, 883, 75, 19
0, 2020-03-28, 1019, 85, 24
0, 2020-03-29, 1139, 102, 27
0, 2020-03-30, 1326, 137, 41
0, 2020-03-31, 1635, 150, 47
0, 2020-04-01, 2059, 169, 53
0, 2020-04-02, 2545, 191, 69
0, 2020-04-03, 3105, 230, 83
0, 2020-04-04, 3684, 286, 96
0, 2020-04-05, 4293, 329, 118
0, 2020-04-06, 4777, 394, 134
0, 2020-04-07, 5350, 469, 161
0, 2020-04-08, 5915, 565, 181
0, 2020-04-09, 6728, 635, 227
0, 2020-04-10, 7599, 786, 249
0, 2020-04-11, 8453, 972, 290
0, 2020-04-12, 9211, 1086, 332
0, 2020-04-13, 10454, 1198, 359
0, 2020-04-14, 11485, 1365, 396
0, 2020-04-15, 12371, 1509, 423
0, 2020-04-16, 13432, 1767, 449
0, 2020-04-17, 14354, 2040, 487
0, 2020-04-18, 15725, 2466, 522
0, 2020-04-19, 17305, 2854, 560
0, 2020-04-20, 18544, 3273, 593
0, 2020-04-21, 20081, 3976, 646
0, 2020-04-22, 21373, 4370, 682
0, 2020-04-23, 23040, 5012, 722
0, 2020-04-24, 24448, 5496, 781
0, 2020-04-25, 26283, 5938, 825
0, 2020-04-26, 27890, 6523, 881
0, 2020-04-27, 29458, 7103, 939
0, 2020-04-28, 31360, 7739, 1008
0, 2020-04-29, 33065, 8429, 1079
0, 2020-04-30, 34866, 9059, 1154
0, 2020-05-01, 37262, 10021, 1231
0, 2020-05-02, 39826, 10852, 1323
0, 2020-05-03, 42778, 11763, 1463
0, 2020-05-04, 46434, 12845, 1566
0, 2020-05-05, 49405, 14140, 1694
0, 2020-05-06, 53007, 15301, 1785
0, 2020-05-07, 56351, 16776, 1889
0, 2020-05-08, 59690, 17887, 1986
0, 2020-05-09, 62865, 19301, 2101
0, 2020-05-10, 67176, 20970, 2213
0, 2020-05-11, 70768, 22549, 2294
0, 2020-05-12, 74330, 24454, 2414
0, 2020-05-13, 78056, 26417, 2551
0, 2020-05-14, 82047, 28011, 2648
0, 2020-05-15, 85855, 30245, 2752
0, 2020-05-16, 90649, 34257, 2872
0, 2020-05-17, 95698, 36795, 3024
0, 2020-05-18, 100326, 39277, 3155
0, 2020-05-19, 106480, 42309, 3301
0, 2020-05-20, 112200, 45422, 3435
0, 2020-05-21, 118223, 48553, 3583
0, 2020-05-22, 124759, 51833, 3725
0, 2020-05-23, 131424, 54409, 3867
0, 2020-05-24, 138537, 57694, 4023
0, 2020-05-25, 144951, 60706, 4173
0, 2020-05-26, 150858, 64291, 4346
0, 2020-05-27, 158104, 67725, 4534
0, 2020-05-28, 165358, 70896, 4710
0, 2020-05-29, 173496, 82631, 4979
0, 2020-05-30, 181860, 86934, 5184
0, 2020-05-31, 190649, 91862, 5406
0, 2020-06-01, 198372, 95744, 5607
0, 2020-06-02, 207187, 100275, 5829
0, 2020-06-03, 216876, 104064, 6088
0, 2020-06-04, 226723, 108454, 6362
0, 2020-06-05, 236195, 113224, 6648
0, 2020-06-06, 246603, 118657, 6945
0, 2020-06-07, 257485, 123848, 7206
0, 2020-06-08, 266021, 129019, 7477
0, 2020-06-09, 276002, 134653, 7749
0, 2020-06-10, 287158, 140928, 8107
0, 2020-06-11, 298293, 146972, 8501
0, 2020-06-12, 309599, 154235, 8889
0, 2020-06-13, 321638, 162327, 9198
0, 2020-06-14, 333043, 169685, 9522
0, 2020-06-15, 343075, 180324, 9918
0, 2020-06-16, 354161, 187550, 11922
0, 2020-06-17, 367269, 194440, 12263
0, 2020-06-18, 381098, 205181, 12606
0, 2020-06-19, 395838, 214210, 12970
0, 2020-06-20, 411753, 228184, 13278
0, 2020-06-21, 426904, 237259, 13704
0, 2020-06-22, 440464, 248138, 14016
0, 2020-06-23, 456120, 258600, 14484
0, 2020-06-24, 472988, 271689, 14908
0, 2020-06-25, 491193, 285672, 15309
0, 2020-06-26, 509448, 295918, 15690
0, 2020-06-27, 529590, 310147, 16104
0, 2020-06-28, 549200, 321778, 16488
0, 2020-06-29, 567539, 335275, 16905
0, 2020-06-30, 585795, 347840, 17411
0, 2020-07-01, 605224, 359904, 17849
0, 2020-07-02, 627171, 379903, 18227
0, 2020-07-03, 649889, 394320, 18671
0, 2020-07-04, 673907, 409066, 19282
0, 2020-07-05, 697849, 424895, 19703
0, 2020-07-06, 720349, 440210, 20176
0, 2020-07-07, 743496, 457046, 20655
0, 2020-07-08, 769057, 476554, 21147
0, 2020-07-09, 794847, 495962, 21626
0, 2020-07-10, 822609, 516251, 22146
0, 2020-07-11, 850366, 536232, 22689
